Time,AFR,Output,col02,col03,MAF,TPS,col06,col07,O2,col09,col10,col11,ECT,O2SM,col14,col15
0.02,17.9075,141,0,128,52,51,195,80,179,0,0,0,0,0,0,0
0.03,17.5536,141,0,128,52,52,195,80,173,0,0,0,0,0,0,0
0.04,17.9665,141,0,128,52,52,195,80,180,0,0,0,0,0,0,0
0.05,17.5536,136,0,128,53,53,195,80,173,0,0,0,0,0,0,0
0.06,17.9665,131,0,128,54,54,195,80,180,0,0,0,0,0,0,0
0.07,17.9075,131,0,128,54,54,195,80,179,0,0,0,0,0,0,0
0.08,17.6126,131,0,128,54,53,195,80,174,0,0,0,0,0,0,0
0.09,17.9665,136,0,128,53,52,195,80,180,0,0,0,0,0,0,0
0.1,17.5536,136,0,128,53,52,195,80,173,0,0,0,0,0,0,0
0.11,17.9665,136,0,128,53,53,195,80,180,0,0,0,0,0,0,0
0.12,17.5536,136,0,128,53,52,195,80,173,0,0,0,0,0,0,0
0.13,17.9665,141,0,128,52,51,195,80,180,0,0,0,0,0,0,0
0.14,18.0844,141,0,128,52,51,195,80,182,0,0,0,0,0,0,0
0.15,17.9665,141,0,128,52,51,195,80,180,0,0,0,0,0,0,0
0.16,18.0255,141,0,128,52,51,195,80,181,0,0,0,0,0,0,0
0.17,17.6716,146,0,128,51,51,195,80,175,0,0,0,0,0,0,0
0.18,18.2024,151,0,128,50,50,195,80,184,0,0,0,0,0,0,0
0.19,17.6126,151,0,128,50,50,195,80,174,0,0,0,0,0,0,0
0.2,17.9075,151,0,128,50,50,195,80,179,0,0,0,0,0,0,0
0.21,17.5536,146,0,128,51,50,195,80,173,0,0,0,0,0,0,0
0.22,17.9665,146,0,128,51,50,195,80,180,0,0,0,0,0,0,0
0.23,17.9665,146,0,128,51,50,195,80,180,0,0,0,0,0,0,0
0.24,17.5536,146,0,128,51,50,195,80,173,0,0,0,0,0,0,0
0.25,17.9665,141,0,128,52,51,195,80,180,0,0,0,0,0,0,0
0.26,17.6126,141,0,128,52,52,195,80,174,0,0,0,0,0,0,0
0.27,18.0255,141,0,128,52,51,195,80,181,0,0,0,0,0,0,0
0.28,17.5536,146,0,128,51,50,195,80,173,0,0,0,0,0,0,0
0.29,17.9665,146,0,128,51,50,195,80,180,0,0,0,0,0,0,0
0.3,17.3177,146,0,128,51,51,195,80,169,0,0,0,0,0,0,0
0.31,17.4946,141,0,128,52,51,195,80,172,0,0,0,0,177,0,0
0.32,17.8485,141,0,128,52,51,195,80,178,0,0,0,0,176,0,0
0.33,17.4946,146,0,128,51,51,195,80,172,0,0,0,0,177,0,0
0.34,18.0844,146,0,128,51,50,195,80,182,0,0,0,0,177,0,0
0.35,17.4946,146,0,128,51,50,195,80,172,0,0,0,0,177,0,0
0.36,17.9075,146,0,128,51,51,195,80,179,0,0,0,0,177,0,0
0.37,17.4946,146,0,128,51,47,195,80,172,0,0,0,0,177,0,0
0.38,17.2587,146,0,128,51,50,195,80,168,0,0,0,0,177,0,0
0.39,17.9665,146,0,128,51,51,195,80,180,0,0,0,0,177,0,0
0.4,17.5536,141,0,128,52,51,195,80,173,0,0,0,0,177,0,0
0.41,17.9665,136,0,128,53,52,195,80,180,0,0,0,0,177,0,0
0.42,17.5536,136,0,128,53,52,195,80,173,0,0,0,0,177,0,0
0.43,17.9665,136,0,128,53,52,195,80,180,0,0,0,0,177,0,0
0.44,17.5536,136,0,128,53,52,195,80,173,0,0,0,0,177,0,0
0.45,17.9665,136,0,128,53,53,195,80,180,0,0,0,0,178,0,0
0.46,17.5536,126,0,128,55,54,195,80,173,0,0,0,0,178,0,0
0.47,17.6716,136,0,128,53,53,195,80,175,0,0,0,0,178,0,0
0.48,18.1434,136,0,128,53,52,195,80,183,0,0,0,0,178,0,0
0.49,18.0844,136,0,128,53,52,195,80,182,0,0,0,0,178,0,0
0.5,18.1434,136,0,128,53,53,195,80,183,0,0,0,0,178,0,0
0.51,17.7895,136,0,128,53,52,195,80,177,0,0,0,0,179,0,0
0.52,18.2024,141,0,128,52,51,195,80,184,0,0,0,0,179,0,0
0.53,17.7305,146,0,128,51,50,195,80,176,0,0,0,0,179,0,0
0.54,18.1434,146,0,128,51,50,195,80,183,0,0,0,0,179,0,0
0.55,18.2024,141,0,128,52,51,195,80,184,0,0,0,0,179,0,0
0.56,17.7895,141,0,128,52,51,195,80,177,0,0,0,0,179,0,0
0.57,18.2024,146,0,128,51,51,195,80,184,0,0,0,0,179,0,0
0.58,17.7305,146,0,128,51,51,195,80,176,0,0,0,0,180,0,0
0.59,18.1434,141,0,128,52,51,195,80,183,0,0,0,0,180,0,0
0.6,17.7895,136,0,128,53,53,195,80,177,0,0,0,0,180,0,0
0.61,18.4383,131,0,128,54,53,195,80,188,0,0,0,0,180,0,0
0.62,18.2614,136,0,128,53,53,195,80,185,0,0,0,0,180,0,0
0.63,17.8485,136,0,128,53,53,195,80,178,0,0,0,0,180,0,0
0.64,18.2024,131,0,128,54,54,195,80,184,0,0,0,0,180,0,0
0.65,17.8485,126,0,128,55,54,195,80,178,0,0,0,0,181,0,0
0.66,18.3204,131,0,128,54,53,195,80,186,0,0,0,0,181,0,0
0.67,17.8485,141,0,128,52,52,195,80,178,0,0,0,0,181,0,0
0.68,18.2614,146,0,128,51,51,195,80,185,0,0,0,0,181,0,0
0.69,18.2614,141,0,128,52,51,195,80,185,0,0,0,0,181,0,0
0.7,18.2614,141,0,128,52,52,195,80,185,0,0,0,0,181,0,0
0.71,18.2614,141,0,128,52,51,195,80,185,0,0,0,0,181,0,0
0.72,17.8485,146,0,128,51,51,195,80,178,0,0,0,0,181,0,0
0.73,18.2614,141,0,128,52,51,195,80,185,0,0,0,0,181,0,0
0.74,17.8485,136,0,128,53,52,195,80,178,0,0,0,0,181,0,0
0.75,18.2024,136,0,128,53,53,195,80,184,0,0,0,0,181,0,0
0.76,17.8485,136,0,128,53,53,195,80,178,0,0,0,0,181,0,0
0.77,18.2024,136,0,128,53,52,195,80,184,0,0,0,0,181,0,0
0.78,18.2024,136,0,128,53,53,195,80,184,0,0,0,0,181,0,0
0.79,17.9075,126,0,128,55,54,195,80,179,0,0,0,0,182,0,0
0.8,18.2614,126,0,128,55,54,195,80,185,0,0,0,0,182,0,0
0.81,17.4946,131,0,128,54,53,195,80,172,0,0,0,0,182,0,0
0.82,18.0844,136,0,128,53,52,195,80,182,0,0,0,0,182,0,0
0.83,17.6716,136,0,128,53,52,195,80,175,0,0,0,0,182,0,0
0.84,18.2614,136,0,128,53,50,195,80,185,0,0,0,0,182,0,0
0.85,18.1434,136,0,128,53,52,195,80,183,0,0,0,0,182,0,0
0.86,18.2024,141,0,128,52,51,195,80,184,0,0,0,0,182,0,0
0.87,18.2024,141,0,128,52,51,195,80,184,0,0,0,0,182,0,0
0.88,17.7895,136,0,128,53,52,195,80,177,0,0,0,0,183,0,0
0.89,18.2024,126,0,128,55,54,195,80,184,0,0,0,0,183,0,0
0.9,17.7895,131,0,128,54,54,195,80,177,0,0,0,0,183,0,0
0.91,18.2024,131,0,128,54,53,195,80,184,0,0,0,0,183,0,0
0.92,17.7895,136,0,128,53,53,195,80,177,0,0,0,0,183,0,0
0.93,18.2614,131,0,128,54,54,195,80,185,0,0,0,0,183,0,0
0.94,18.3204,121,0,128,56,55,195,80,186,0,0,0,0,183,0,0
0.95,17.9665,131,0,128,54,54,195,80,180,0,0,0,0,183,0,0
0.96,18.6153,136,0,128,53,52,195,80,191,0,0,0,0,183,0,0
0.97,18.1434,141,0,128,52,51,195,80,183,0,0,0,0,184,0,0
0.98,18.4973,141,0,128,52,51,195,80,189,0,0,0,0,184,0,0
0.99,18.0255,141,0,128,52,51,195,80,181,0,0,0,0,184,0,0
1,18.4383,141,0,128,52,52,195,80,188,0,0,0,0,184,0,0
1.01,18.4973,141,0,128,52,52,195,80,189,0,0,0,0,184,0,0
1.02,18.0844,141,0,128,52,51,195,80,182,0,0,0,0,185,0,0
1.03,18.4383,136,0,128,53,52,195,80,188,0,0,0,0,185,0,0
1.04,18.0255,131,0,128,54,53,195,80,181,0,0,0,0,185,0,0
1.05,18.4973,136,0,128,53,52,195,80,189,0,0,0,0,185,0,0
1.06,18.0844,141,0,128,52,51,195,80,182,0,0,0,0,186,0,0
1.07,18.4973,146,0,128,51,50,195,80,189,0,0,0,0,186,0,0
1.08,18.2024,146,0,128,51,50,195,80,184,0,0,0,0,186,0,0
1.09,18.6742,141,0,128,52,51,195,80,192,0,0,0,0,186,0,0
1.1,18.5563,146,0,128,51,51,195,80,190,0,0,0,0,187,0,0
1.11,18.2024,146,0,128,51,50,195,80,184,0,0,0,0,187,0,0
1.12,18.4973,146,0,128,51,50,195,80,189,0,0,0,0,187,0,0
1.13,18.2024,141,0,128,52,51,195,80,184,0,0,0,0,188,0,0
1.14,18.6153,141,0,128,52,52,195,80,191,0,0,0,0,188,0,0
1.15,18.1434,141,0,128,52,51,195,80,183,0,0,0,0,188,0,0
1.16,18.6153,146,0,128,51,51,195,80,191,0,0,0,0,188,0,0
1.17,18.6153,141,0,128,52,51,195,80,191,0,0,0,0,188,0,0
1.18,18.6742,141,0,128,52,52,195,80,192,0,0,0,0,189,0,0
1.19,18.6153,141,0,128,52,52,195,80,191,0,0,0,0,189,0,0
1.2,18.2024,146,0,128,51,51,195,80,184,0,0,0,0,189,0,0
1.21,18.6742,146,0,128,51,50,195,80,192,0,0,0,0,189,0,0
1.22,18.2024,146,0,128,51,50,195,80,184,0,0,0,0,189,0,0
1.23,18.6153,146,0,128,51,51,195,80,191,0,0,0,0,189,0,0
1.24,18.4383,141,0,128,52,51,195,80,188,0,0,0,0,189,0,0
1.25,18.7922,141,0,128,52,51,195,80,194,0,0,0,0,190,0,0
